id_unique,Start,End
130307,18jun2013 06:30:00,18jun2013 13:30:00
157283,18jun2013 06:30:00,18jun2013 17:00:00
624150,18jun2013 06:30:00,18jun2013 12:00:00
737874,18jun2013 06:30:00,18jun2013 11:30:00
925831,18jun2013 06:30:00,18jun2013 16:30:00
33554,18jun2013 07:00:00,18jun2013 17:00:00
126333,18jun2013 07:00:00,18jun2013 14:30:00
455530,18jun2013 07:00:00,18jun2013 17:00:00
731314,18jun2013 07:00:00,18jun2013 16:30:00
53300,18jun2013 07:30:00,18jun2013 17:30:00
657288,18jun2013 07:30:00,18jun2013 17:30:00
765261,18jun2013 07:30:00,18jun2013 17:30:00
939721,18jun2013 07:30:00,18jun2013 13:30:00
236538,18jun2013 08:00:00,18jun2013 18:00:00
447058,18jun2013 08:00:00,18jun2013 18:00:00
481312,18jun2013 08:00:00,18jun2013 13:30:00
496150,18jun2013 08:00:00,18jun2013 18:00:00
70164,18jun2013 08:30:00,18jun2013 15:00:00
572207,18jun2013 08:30:00,18jun2013 14:00:00
351336,18jun2013 09:00:00,18jun2013 17:00:00
571670,18jun2013 09:00:00,18jun2013 19:00:00
574789,18jun2013 09:00:00,18jun2013 16:00:00
732892,18jun2013 09:00:00,18jun2013 14:00:00
769213,18jun2013 09:00:00,18jun2013 14:00:00
789283,18jun2013 09:00:00,18jun2013 13:30:00
877787,18jun2013 09:00:00,18jun2013 14:00:00
981411,18jun2013 09:00:00,18jun2013 19:00:00
70830,18jun2013 10:30:00,18jun2013 19:30:00
94083,18jun2013 11:00:00,18jun2013 20:30:00
145233,18jun2013 11:00:00,18jun2013 20:00:00
898912,18jun2013 11:00:00,18jun2013 20:00:00
493296,18jun2013 11:30:00,18jun2013 20:30:00
808284,18jun2013 11:30:00,18jun2013 19:30:00
869646,18jun2013 11:30:00,18jun2013 21:30:00
59950,18jun2013 12:00:00,18jun2013 18:30:00
86173,18jun2013 12:00:00,18jun2013 22:00:00
305690,18jun2013 12:00:00,18jun2013 21:30:00
773545,18jun2013 12:00:00,18jun2013 22:00:00
821417,18jun2013 12:30:00,18jun2013 22:00:00
38791,18jun2013 13:00:00,18jun2013 22:30:00
