id_unique_orig,idshift,Team_orig,Date,NHours,Start,End,StartId,EndId,idw,shiftid,Team,id_unique,seat
359142,52588,Team 11,19jun2013,78,19jun2013 19:00:00,20jun2013 04:30:00,23753,23772,57,197,15,2708,37
944615,137983,Team 4,21jun2013,58,21jun2013 18:00:00,22jun2013 04:00:00,23847,23867,147,515,15,2708,34
737874,102034,Team 11,24jun2013,55,24jun2013 05:30:00,24jun2013 11:00:00,23966,23977,109,392,15,2708,24
399447,56809,Team 12,18jun2013,95,18jun2013 18:30:00,19jun2013 03:30:00,23704,23722,60,206,7,8041,15
744925,103603,Team 14,20jun2013,7,20jun2013 18:00:00,20jun2013 21:00:00,23799,23805,111,397,7,8041,20
8821,2566,Team 1,22jun2013,53,22jun2013 19:00:00,23jun2013 04:30:00,23897,23916,4,8,7,8041,26
353379,51202,Team 4,24jun2013,83,24jun2013 17:30:00,25jun2013 03:30:00,23990,24010,56,195,7,8041,40
789283,110289,Team 11,18jun2013,53,18jun2013 09:00:00,18jun2013 13:30:00,23685,23694,120,428,3,8488,35
465713,64595,Team 9,20jun2013,72,20jun2013 09:00:00,20jun2013 16:30:00,23781,23796,69,239,3,8488,34
455584,63003,Team 8,22jun2013,103,22jun2013 08:00:00,22jun2013 18:00:00,23875,23895,68,235,3,8488,20
59950,11432,Team 5,24jun2013,64,24jun2013 10:30:00,24jun2013 21:00:00,23976,23997,11,38,3,8488,41
737874,102030,Team 11,18jun2013,55,18jun2013 06:30:00,18jun2013 11:30:00,23680,23690,109,388,1,8821,25
737874,102032,Team 11,20jun2013,55,20jun2013 06:00:00,20jun2013 10:30:00,23775,23784,109,390,1,8821,24
493296,69503,Team 10,21jun2013,79,21jun2013 21:00:00,22jun2013 06:30:00,23853,23872,75,257,1,8821,25
891194,130124,Team 6,24jun2013,84,24jun2013 07:00:00,24jun2013 17:00:00,23969,23989,138,490,1,8821,29
130746,19755,Team 2,19jun2013,101,19jun2013 12:00:00,19jun2013 22:00:00,23739,23759,24,83,12,33554,40
537701,75776,Team 8,21jun2013,79,21jun2013 11:30:00,21jun2013 22:00:00,23834,23855,82,286,12,33554,42
236538,37224,Team 1,23jun2013,112,23jun2013 16:00:00,23jun2013 23:30:00,23939,23954,43,151,12,33554,23
688028,93822,Team 7,18jun2013,94,18jun2013 21:00:00,19jun2013 06:30:00,23709,23728,99,350,7,38178,41
979505,140714,Team 6,20jun2013,64,20jun2013 18:30:00,21jun2013 04:30:00,23800,23820,150,524,7,38178,37
799070,112585,Team 9,22jun2013,41,22jun2013 19:00:00,23jun2013 05:00:00,23897,23917,122,438,7,38178,16
38791,7587,Team 7,24jun2013,112,24jun2013 20:00:00,25jun2013 03:30:00,23995,24010,7,24,7,38178,11
690937,94322,Team 11,18jun2013,41,18jun2013 21:00:00,19jun2013 06:30:00,23709,23728,100,355,7,38791,42
986245,142036,Team 12,20jun2013,87,20jun2013 18:30:00,21jun2013 05:00:00,23800,23821,152,532,7,38791,36
247347,38994,Team 13,22jun2013,41,22jun2013 19:30:00,23jun2013 05:30:00,23898,23918,44,153,7,38791,12
731314,98924,Team 12,24jun2013,122,24jun2013 20:00:00,25jun2013 06:00:00,23995,24015,106,377,7,38791,38
753239,105004,Team 13,18jun2013,68,18jun2013 22:30:00,19jun2013 06:30:00,23712,23728,113,401,7,40927,28
8041,1436,Team 7,20jun2013,31,20jun2013 20:00:00,21jun2013 05:30:00,23803,23822,2,3,7,40927,12
70830,11965,Team 5,22jun2013,81,22jun2013 20:30:00,23jun2013 06:30:00,23900,23920,13,45,7,40927,36
690937,94323,Team 11,24jun2013,41,24jun2013 21:00:00,25jun2013 07:00:00,23997,24017,100,356,7,40927,30
231145,34862,Team 8,19jun2013,11,19jun2013 16:00:00,19jun2013 21:00:00,23747,23757,40,140,13,53300,11
285442,42192,Team 5,21jun2013,59,21jun2013 15:30:00,22jun2013 00:00:00,23842,23859,48,163,13,53300,13
713492,96637,Team 5,23jun2013,45,23jun2013 17:30:00,23jun2013 22:30:00,23942,23952,104,368,13,53300,26
126333,19081,Team 13,19jun2013,55,19jun2013 07:00:00,19jun2013 13:30:00,23729,23742,22,73,9,58138,25
86173,13683,Team 2,21jun2013,123,21jun2013 07:00:00,21jun2013 16:30:00,23825,23844,14,49,9,58138,28
891194,130123,Team 6,23jun2013,84,23jun2013 06:30:00,23jun2013 16:00:00,23920,23939,138,489,9,58138,25
679841,91966,Team 7,18jun2013,79,18jun2013 13:30:00,18jun2013 22:30:00,23694,23712,97,343,5,59950,35
990611,143399,Team 2,20jun2013,72,20jun2013 13:00:00,20jun2013 22:30:00,23789,23808,154,538,5,59950,7
981411,141264,Team 4,22jun2013,100,22jun2013 13:00:00,23jun2013 01:00:00,23885,23909,151,527,5,59950,28
465713,64597,Team 9,24jun2013,72,24jun2013 14:30:00,25jun2013 00:30:00,23984,24004,69,241,5,59950,13
609904,83812,Team 13,19jun2013,39,19jun2013 11:00:00,19jun2013 12:00:00,23737,23739,91,323,11,70164,40
408514,57286,Team 4,21jun2013,21,21jun2013 10:30:00,21jun2013 20:30:00,23832,23852,61,211,11,70164,12
602900,82858,Team 8,23jun2013,80,23jun2013 12:00:00,23jun2013 22:00:00,23931,23951,89,318,11,70164,38
199617,30303,Team 10,18jun2013,54,18jun2013 14:00:00,18jun2013 23:30:00,23695,23714,36,125,5,70830,12
679841,91967,Team 7,20jun2013,79,20jun2013 13:30:00,20jun2013 22:30:00,23790,23808,97,344,5,70830,47
285442,42193,Team 5,22jun2013,59,22jun2013 14:30:00,23jun2013 00:30:00,23888,23908,48,164,5,70830,25
655988,88260,Team 6,24jun2013,22,24jun2013 15:00:00,24jun2013 15:30:00,23985,23986,94,334,5,70830,17
351336,50361,Team 12,18jun2013,82,18jun2013 09:00:00,18jun2013 17:00:00,23685,23701,55,187,2,86173,15
789283,110291,Team 11,20jun2013,53,20jun2013 08:30:00,20jun2013 13:30:00,23780,23790,120,430,2,86173,33
236538,37223,Team 1,22jun2013,112,22jun2013 07:00:00,22jun2013 12:30:00,23873,23884,43,150,2,86173,28
130746,19758,Team 2,24jun2013,101,24jun2013 09:00:00,24jun2013 18:30:00,23973,23992,24,86,2,86173,38
800017,113319,Team 6,18jun2013,94,18jun2013 16:30:00,19jun2013 00:30:00,23700,23716,123,440,6,92872,19
266851,39814,Team 4,20jun2013,76,20jun2013 17:00:00,21jun2013 01:00:00,23797,23813,45,155,6,92872,22
199617,30305,Team 10,22jun2013,54,22jun2013 18:00:00,23jun2013 02:00:00,23895,23911,36,126,6,92872,20
414187,58687,Team 15,24jun2013,66,24jun2013 17:00:00,25jun2013 00:30:00,23989,24004,62,215,6,92872,22
574789,80114,Team 5,19jun2013,92,19jun2013 09:00:00,19jun2013 18:30:00,23733,23752,87,307,10,93772,14
153669,23280,Team 3,21jun2013,43,21jun2013 08:30:00,21jun2013 13:30:00,23828,23838,27,95,10,93772,16
773545,108977,Team 10,23jun2013,101,23jun2013 09:00:00,23jun2013 18:30:00,23925,23944,118,422,10,93772,19
214894,32156,Team 12,19jun2013,104,19jun2013 11:30:00,19jun2013 23:00:00,23738,23761,37,128,11,94083,22
138001,20396,Team 8,21jun2013,80,21jun2013 11:00:00,21jun2013 21:00:00,23833,23853,25,89,11,94083,25
236263,36338,Team 14,23jun2013,80,23jun2013 15:30:00,24jun2013 02:00:00,23938,23959,42,144,11,94083,28
153707,23560,Team 6,19jun2013,50,19jun2013 23:00:00,20jun2013 07:00:00,23761,23777,28,99,15,96858,31
672784,90403,Team 5,21jun2013,61,21jun2013 20:00:00,22jun2013 05:30:00,23851,23870,96,340,15,96858,10
455584,63005,Team 8,24jun2013,103,24jun2013 06:30:00,24jun2013 16:30:00,23968,23988,68,237,15,96858,25
153707,23559,Team 6,18jun2013,50,18jun2013 23:00:00,19jun2013 06:30:00,23713,23728,28,98,7,98413,29
227085,32954,Team 8,20jun2013,43,20jun2013 20:00:00,21jun2013 04:00:00,23803,23819,38,134,7,98413,11
145233,22387,Team 2,22jun2013,80,22jun2013 20:30:00,23jun2013 06:30:00,23900,23920,26,93,7,98413,39
214894,32160,Team 12,24jun2013,104,24jun2013 22:30:00,25jun2013 06:30:00,24000,24016,37,132,7,98413,28
53300,9463,Team 13,18jun2013,62,18jun2013 07:30:00,18jun2013 17:30:00,23682,23702,9,27,1,106879,30
609904,83813,Team 13,20jun2013,39,20jun2013 07:00:00,20jun2013 15:30:00,23777,23794,91,324,1,106879,28
713492,96635,Team 5,21jun2013,45,21jun2013 22:30:00,22jun2013 07:00:00,23856,23873,104,366,1,106879,43
990611,143401,Team 2,24jun2013,72,24jun2013 07:30:00,24jun2013 12:30:00,23970,23980,154,540,1,106879,31
988180,143123,Team 14,19jun2013,43,19jun2013 16:00:00,19jun2013 23:30:00,23747,23762,153,535,13,122331,50
33554,5901,Team 12,21jun2013,94,21jun2013 17:00:00,22jun2013 02:00:00,23845,23863,5,10,13,122331,20
672784,90405,Team 5,23jun2013,61,23jun2013 19:00:00,24jun2013 04:30:00,23945,23964,96,342,13,122331,19
414877,58980,Team 8,19jun2013,50,19jun2013 17:00:00,20jun2013 00:30:00,23749,23764,63,217,13,126333,25
351336,50362,Team 12,21jun2013,82,21jun2013 17:00:00,22jun2013 02:00:00,23845,23863,55,188,13,126333,50
866732,125259,Team 6,23jun2013,20,23jun2013 19:00:00,24jun2013 04:30:00,23945,23964,131,464,13,126333,18
447058,60996,Team 1,19jun2013,100,19jun2013 08:00:00,19jun2013 17:30:00,23731,23750,66,224,9,130307,33
765261,106918,Team 8,21jun2013,89,21jun2013 07:00:00,21jun2013 11:30:00,23825,23834,115,410,9,130307,22
126333,19083,Team 13,23jun2013,55,23jun2013 07:30:00,23jun2013 08:00:00,23922,23923,22,75,9,130307,30
571670,79190,Team 12,18jun2013,99,18jun2013 09:00:00,18jun2013 19:00:00,23685,23705,84,292,2,130746,36
38791,7584,Team 7,20jun2013,112,20jun2013 09:00:00,20jun2013 18:30:00,23781,23800,7,21,2,130746,16
527408,74789,Team 5,22jun2013,97,22jun2013 07:00:00,22jun2013 18:30:00,23873,23896,80,280,2,130746,26
769213,107891,Team 5,24jun2013,55,24jun2013 09:00:00,24jun2013 14:00:00,23973,23983,117,418,2,130746,12
681130,92920,Team 1,19jun2013,61,19jun2013 06:30:00,19jun2013 16:30:00,23728,23748,98,347,8,138001,24
737874,102033,Team 11,21jun2013,55,21jun2013 06:00:00,21jun2013 11:00:00,23823,23833,109,391,8,138001,23
703190,95713,Team 7,23jun2013,25,23jun2013 02:00:00,23jun2013 04:00:00,23911,23915,103,365,8,138001,25
574789,80113,Team 5,18jun2013,92,18jun2013 09:00:00,18jun2013 16:00:00,23685,23699,87,306,2,145233,14
53300,9465,Team 13,20jun2013,62,20jun2013 09:00:00,20jun2013 18:30:00,23781,23800,9,29,2,145233,35
688028,93825,Team 7,22jun2013,94,22jun2013 07:00:00,22jun2013 15:30:00,23873,23890,99,353,2,145233,29
794773,111292,Team 11,24jun2013,83,24jun2013 09:00:00,24jun2013 17:00:00,23973,23989,121,437,2,145233,39
981411,141262,Team 4,18jun2013,100,18jun2013 09:00:00,18jun2013 19:00:00,23685,23705,151,525,3,153669,37
574789,80115,Team 5,20jun2013,92,20jun2013 09:00:00,20jun2013 18:30:00,23781,23800,87,308,3,153669,15
808284,114335,Team 1,22jun2013,92,22jun2013 08:00:00,22jun2013 17:30:00,23875,23894,124,447,3,153669,31
753239,105007,Team 13,24jun2013,68,24jun2013 10:30:00,24jun2013 20:30:00,23976,23996,113,404,3,153669,9
979505,140712,Team 6,18jun2013,64,18jun2013 17:30:00,19jun2013 04:00:00,23702,23723,150,522,6,153707,24
512923,72991,Team 4,20jun2013,66,20jun2013 17:30:00,21jun2013 04:00:00,23798,23819,78,271,6,153707,18
832227,118551,Team 2,22jun2013,61,22jun2013 18:00:00,23jun2013 04:00:00,23895,23915,126,453,6,153707,34
899189,131539,Team 11,24jun2013,24,24jun2013 17:00:00,24jun2013 23:30:00,23989,24002,140,496,6,153707,24
176945,27605,Team 1,19jun2013,72,19jun2013 23:00:00,20jun2013 07:00:00,23761,23777,33,114,15,157283,30
145233,22386,Team 2,21jun2013,80,21jun2013 20:30:00,22jun2013 07:00:00,23852,23873,26,92,15,157283,40
574141,79547,Team 10,24jun2013,96,24jun2013 06:30:00,24jun2013 17:00:00,23968,23989,86,305,15,157283,26
732892,100054,Team 1,18jun2013,55,18jun2013 09:00:00,18jun2013 14:00:00,23685,23695,107,378,2,166419,13
